epoch,acc,loss,val_acc,val_loss
0,0.6143162,12.28586129653148,0.5657895,9.2894152591103
1,0.62139416,6.770579069088667,0.6419956,5.532011634425113
2,0.65424675,4.5767005529159155,0.67269737,3.8710809004934212
3,0.6793537,3.3651907994196963,0.696272,2.9303372282730904
4,0.69110566,2.5881773691910963,0.7132675,2.260139728847303
5,0.714076,2.029319154910552,0.6973684,1.8337254461489225
6,0.72916675,1.6571400196124346,0.69298244,1.5712617949435586
7,0.7350427,1.3846835218943083,0.75109655,1.2684344178751896
8,0.7447917,1.2012788439408326,0.7362938,1.2134367980455096
9,0.746127,1.0765179617282672,0.7275219,1.0636957789722241
10,0.7504007,0.9883868663738935,0.7406798,0.9543200543052272
11,0.75360584,0.9263997505872678,0.72861844,1.000114547578912
12,0.7610845,0.8643373976915311,0.76315784,0.847758086104142
13,0.7716346,0.8325452735790839,0.7127193,0.9556319086175216
14,0.77283657,0.8170871329613221,0.7044956,0.8967585657772265
15,0.7793805,0.7908072074254354,0.584978,2.107815460154885
16,0.7761752,0.798956287977023,0.7341009,0.8785542281050431
17,0.77991456,0.7809532796725248,0.5570175,5.14890748576114
18,0.7911325,0.7461973252968911,0.79111844,0.7690841085032413
19,0.7877937,0.7493482132752737,0.7982457,0.7401350046458998
20,0.7984776,0.7334825755693973,0.69133776,0.9750805026606509
21,0.799546,0.7436330547699561,0.7796052,0.7754624046777424
22,0.79380345,0.7331128044006152,0.7017544,0.8622984290122986
23,0.80288464,0.7047500037229978,0.80866224,0.7147591553236309
24,0.8091615,0.6818680946643536,0.65679824,1.2702351557581049
25,0.7991452,0.7109056107508831,0.7576754,0.8050537548567119
26,0.8119658,0.6940581523455106,0.7916667,0.7539510570074383
27,0.81076384,0.674185824699891,0.720943,0.798049879701514
28,0.81423604,0.6680026528162833,0.74780697,0.7897090660898309
29,0.8157051,0.6656785683754163,0.8421052,0.6133885603202017
30,0.8213141,0.6539940104270593,0.70559204,1.0637332012778835
31,0.82211536,0.6482780694197385,0.79440796,0.6897042048604864
32,0.81757486,0.6571560895595795,0.8278509,0.6430660972469732
33,0.8302618,0.6321107783378699,0.82565796,0.620016474472849
34,0.8290598,0.619943828918995,0.7730263,0.6926870126473276
35,0.8270567,0.6253597858624581,0.779057,0.8337979410824022
36,0.8330661,0.6120517230950869,0.7182018,1.0058868213703758
37,0.8327991,0.6024969243086301,0.7110746,0.960835874080658
38,0.83253205,0.6095001869476758,0.8218201,0.6377624336041903
39,0.82478625,0.6202638867573861,0.73026323,0.7806676124271593
40,0.8465546,0.5941657106845807,0.76809204,0.7715307630990681
41,0.83653843,0.5950918480371817,0.67160094,1.0444767192790383
42,0.8389424,0.583004674850366,0.8020834,0.6776529644664965
43,0.83760667,0.5787583967814078,0.747807,0.8388291315028542
44,0.8497595,0.553938668507796,0.80043864,0.6396294424408361
45,0.8412126,0.5836851929242795,0.71381587,0.9950991084701136
46,0.85002667,0.5601395785044401,0.63870615,1.2293472509635122
47,0.83774036,0.599070613582929,0.76535094,0.9808165901585629
48,0.8418804,0.580029159784317,0.7467105,0.8420037062544572
49,0.8553687,0.5363901421809808,0.7445175,0.7896242235836229
50,0.85576904,0.533563725077189,0.8212719,0.6025205301611047
51,0.8513621,0.5421005009840696,0.80701756,0.6407608233000103
52,0.8547008,0.5460058309328861,0.8009868,0.6469210699984902
53,0.84882474,0.5573973071116668,0.7236842,0.8745254152699521
54,0.85617,0.5187215881469922,0.7527413,0.9361466734032882
55,0.8595085,0.522224771670806,0.7039474,0.8720421163659346
56,0.859375,0.5193634040844746,0.79769737,0.6479120474112662
57,0.8575053,0.5297419447929431,0.7615131,0.7125945404956215
58,0.8604433,0.5421870511311752,0.68201756,1.4533985163036145
59,0.85990924,0.5294840251788114,0.7653508,0.6713266843243649
60,0.86097765,0.5210869552997442,0.8020834,0.6704889771185423
61,0.8612448,0.5127806162987,0.84375,0.5582688890005413
62,0.85576934,0.5235458673574985,0.83936405,0.6125583444771013
63,0.86458325,0.5137387640201129,0.8322369,0.5736878059412304
64,0.8563034,0.5264164194082602,0.85032904,0.5823821613663122
65,0.8680556,0.5057090517037954,0.7894737,0.6657197020555797
66,0.86765486,0.5026671829131933,0.77412283,0.6667126668126959
67,0.86591876,0.4947075652770507,0.8333333,0.538408520974611
68,0.86565167,0.49821271040500736,0.8042763,0.7170188677938361
69,0.86645305,0.5067607007729702,0.8508773,0.5376938534410376
70,0.86752135,0.5058795473514459,0.66118425,1.199084592492957
71,0.8668535,0.5065838404190846,0.67324567,1.047543870775323
72,0.8709938,0.4888558105016366,0.8229167,0.5966613496604719
73,0.8568378,0.529102216164271,0.7883771,0.6442868740935075
74,0.8651174,0.5012769137437527,0.7741228,0.6889221260422155
75,0.8799413,0.48559800478128284,0.80811405,0.6786730540426154
76,0.86551815,0.5119338081433222,0.72752196,0.862801940817582
77,0.8824786,0.47687525817981136,0.8596492,0.518419203005339
78,0.8741986,0.49324241204139513,0.8645834,0.5090515754724804
79,0.8661859,0.49304787470744205,0.8026317,0.6908734346690931
80,0.8748665,0.48236033969964737,0.87609655,0.5101319065219477
81,0.87219554,0.4870390574901532,0.8141448,0.6402819689951444
82,0.8788729,0.48663399922542083,0.8157894,0.6380928252872667
83,0.8751334,0.4869427600732216,0.87280697,0.5027089997341758
84,0.878873,0.4792050910301698,0.8865132,0.4635546019202785
85,0.87152773,0.47352125438360065,0.85361844,0.5285766908996984
86,0.8685895,0.47961526879897487,0.6946272,1.1208550647685402
87,0.87967396,0.4735239255122649,0.8876096,0.44020772921411616
88,0.88541675,0.467725660938483,0.84539473,0.5240316689014435
89,0.87353104,0.49621774638310456,0.7264254,1.0413538437140615
